DateRep,Day,Month,Year,Cases,Deaths,Countries and territories,GeoId
18/03/2020,18,3,2020,407,5,United_Kingdom,UK
17/03/2020,17,3,2020,152,20,United_Kingdom,UK
16/03/2020,16,3,2020,251,14,United_Kingdom,UK
15/03/2020,15,3,2020,433,11,United_Kingdom,UK
14/03/2020,14,3,2020,117,0,United_Kingdom,UK
13/03/2020,13,3,2020,134,4,United_Kingdom,UK
12/03/2020,12,3,2020,83,0,United_Kingdom,UK
11/03/2020,11,3,2020,52,1,United_Kingdom,UK
10/03/2020,10,3,2020,48,2,United_Kingdom,UK
09/03/2020,9,3,2020,67,1,United_Kingdom,UK
08/03/2020,8,3,2020,43,1,United_Kingdom,UK
07/03/2020,7,3,2020,48,0,United_Kingdom,UK
06/03/2020,6,3,2020,30,1,United_Kingdom,UK
05/03/2020,5,3,2020,34,0,United_Kingdom,UK
04/03/2020,4,3,2020,11,0,United_Kingdom,UK
03/03/2020,3,3,2020,4,0,United_Kingdom,UK
02/03/2020,2,3,2020,13,0,United_Kingdom,UK
01/03/2020,1,3,2020,5,0,United_Kingdom,UK
29/02/2020,29,2,2020,2,0,United_Kingdom,UK
28/02/2020,28,2,2020,3,0,United_Kingdom,UK
27/02/2020,27,2,2020,0,0,United_Kingdom,UK
26/02/2020,26,2,2020,0,0,United_Kingdom,UK
25/02/2020,25,2,2020,0,0,United_Kingdom,UK
24/02/2020,24,2,2020,4,0,United_Kingdom,UK
23/02/2020,23,2,2020,0,0,United_Kingdom,UK
22/02/2020,22,2,2020,0,0,United_Kingdom,UK
21/02/2020,21,2,2020,0,0,United_Kingdom,UK
20/02/2020,20,2,2020,0,0,United_Kingdom,UK
19/02/2020,19,2,2020,0,0,United_Kingdom,UK
18/02/2020,18,2,2020,0,0,United_Kingdom,UK
17/02/2020,17,2,2020,0,0,United_Kingdom,UK
16/02/2020,16,2,2020,0,0,United_Kingdom,UK
15/02/2020,15,2,2020,0,0,United_Kingdom,UK
14/02/2020,14,2,2020,0,0,United_Kingdom,UK
13/02/2020,13,2,2020,1,0,United_Kingdom,UK
12/02/2020,12,2,2020,0,0,United_Kingdom,UK
11/02/2020,11,2,2020,4,0,United_Kingdom,UK
10/02/2020,10,2,2020,0,0,United_Kingdom,UK
09/02/2020,9,2,2020,1,0,United_Kingdom,UK
08/02/2020,8,2,2020,0,0,United_Kingdom,UK
07/02/2020,7,2,2020,1,0,United_Kingdom,UK
06/02/2020,6,2,2020,0,0,United_Kingdom,UK
05/02/2020,5,2,2020,0,0,United_Kingdom,UK
04/02/2020,4,2,2020,0,0,United_Kingdom,UK
03/02/2020,3,2,2020,0,0,United_Kingdom,UK
02/02/2020,2,2,2020,0,0,United_Kingdom,UK
01/02/2020,1,2,2020,0,0,United_Kingdom,UK
31/01/2020,31,1,2020,2,0,United_Kingdom,UK
30/01/2020,30,1,2020,0,0,United_Kingdom,UK
29/01/2020,29,1,2020,0,0,United_Kingdom,UK
28/01/2020,28,1,2020,0,0,United_Kingdom,UK
27/01/2020,27,1,2020,0,0,United_Kingdom,UK
26/01/2020,26,1,2020,0,0,United_Kingdom,UK
25/01/2020,25,1,2020,0,0,United_Kingdom,UK
24/01/2020,24,1,2020,0,0,United_Kingdom,UK
23/01/2020,23,1,2020,0,0,United_Kingdom,UK
22/01/2020,22,1,2020,0,0,United_Kingdom,UK
21/01/2020,21,1,2020,0,0,United_Kingdom,UK
20/01/2020,20,1,2020,0,0,United_Kingdom,UK
19/01/2020,19,1,2020,0,0,United_Kingdom,UK
18/01/2020,18,1,2020,0,0,United_Kingdom,UK
17/01/2020,17,1,2020,0,0,United_Kingdom,UK
16/01/2020,16,1,2020,0,0,United_Kingdom,UK
15/01/2020,15,1,2020,0,0,United_Kingdom,UK
14/01/2020,14,1,2020,0,0,United_Kingdom,UK
13/01/2020,13,1,2020,0,0,United_Kingdom,UK
12/01/2020,12,1,2020,0,0,United_Kingdom,UK
11/01/2020,11,1,2020,0,0,United_Kingdom,UK
10/01/2020,10,1,2020,0,0,United_Kingdom,UK
09/01/2020,9,1,2020,0,0,United_Kingdom,UK
08/01/2020,8,1,2020,0,0,United_Kingdom,UK
07/01/2020,7,1,2020,0,0,United_Kingdom,UK
06/01/2020,6,1,2020,0,0,United_Kingdom,UK
05/01/2020,5,1,2020,0,0,United_Kingdom,UK
04/01/2020,4,1,2020,0,0,United_Kingdom,UK
03/01/2020,3,1,2020,0,0,United_Kingdom,UK
02/01/2020,2,1,2020,0,0,United_Kingdom,UK
01/01/2020,1,1,2020,0,0,United_Kingdom,UK
31/12/2019,31,12,2019,0,0,United_Kingdom,UK
